net,length_um
_07969_,108.84
clknet_leaf_38_clk,108.7
clknet_leaf_234_clk,108.7
net593,108.68
_05709_,108.655
_06539_,108.64
_05311_,108.6
forwardlogic.reg_wr_en_rr_ex_prev,108.41
register_file.registerFile\[2\]\[0\],108.37
_02508_,108.36
_05710_,108.35
_03404_,108.3
clknet_leaf_105_clk,108.3
mem_wb_pipeline_reg.Rd_Data_Out_PR\[3\],108.22
_05725_,108.18
_03207_,108.155
mem_wb_pipeline_reg.Rd_Data_Out_PR\[1\],108.095
_03421_,108.04
_03690_,108.04
_06571_,107.895
_06531_,107.8
_04754_,107.79
alu_control.aluCtrlOp\[0\],107.74
_08211_,107.675
_04986_,107.6
bht_lut.pc_from_id\[2\],107.48
_07180_,107.4
clknet_leaf_112_clk,107.4
clknet_leaf_58_clk,107.38
clknet_leaf_123_clk,107.37
clknet_leaf_44_clk,107.32
_07174_,107.175
_06543_,106.8
_05732_,106.695
_06110_,106.6
_07227_,106.56
_05207_,106.555
_07553_,106.49
_04695_,106.46
clknet_leaf_114_clk,106.28
_03422_,106.25
_05728_,106.22
clknet_leaf_113_clk,106.18
_07531_,106.12
bht_lut.pc_from_id\[14\],106.1
_05688_,105.97
la_sa_lm_sm_block.reg_index_la_sa\[1\],105.96
_03801_,105.84
_04257_,105.82
_03403_,105.74
_07974_,105.69
